"Enabled","Enabled"
"Global Livehandler settings","Global Livehandler settings"
"Balticode Livehandler","Balticode Livehandler"
"Show order info","Show order info"
"Invalid action","Invalid action"
"Not applicable","Not applicable"
"Email Invoice","Email Invoice"
"Admin Order Grid Helper","Admin Order Grid Helper"
"Open Order in new window when clicking on Order status","Open Order in new window when clicking on Order status"
"Capture","Capture"
"Comment added!","Comment added!"
"Add button","Add button"
"Button name","Button name"
"Delete instance of this module from %s folder","Delete instance of this module from %s folder"
"Folder %s deleted!","Folder %s deleted!"
"Folder %s delete failed!","Folder %s delete failed!"
"Most probably you have older version of this module in the system. Do you want to remove the instance of this module from %s folder?","Most probably you have older version of this module in the system. Do you want to remove the instance of this module from %s folder?"
"Manage the order from here by adding <a href='%s' target='_blank'>action buttons</a>","Manage the order from here by adding <a href='%s' target='_blank'>action buttons</a>"
"http://www.balticode.com/magento/better-order-management.html","http://www.balticode.com/magento/better-order-management.html"
"This order has not yet been fully paid","This order has not yet been fully paid"
