"Enabled","Ieslēgts"
"Global Livehandler settings","Global Livehandler uzstādījumi"
"Balticode Livehandler","Balticode Livehandler"
"Show order info","Parādīt pasūtījuma informāciju"
"Invalid action","Neatļauta darbība"
"Not applicable","Nav piemērojams"
"Email Invoice","nosūtīt pavadzīmi pa e-pastu"
"Admin Order Grid Helper","Administratora pasūtījuma režģa palīgs"
"Open Order in new window when clicking on Order status",""Atvērt pasūtījumu jaunā logā"," uzklikšķinot uz pasūtījuma statusa""
"Capture","Attēlot"
"Comment added!","Komentārs pievienots!"
"Add button","Pievienot pogu"
"Button name","Pogas nosaukums"
"Delete instance of this module from %s folder","Izdzēst moduļa sastāvdaļas no mapes %s "
"Folder %s deleted!","Mape %s izdzēsta!"
"Folder %s delete failed!","Mapes %s dzēšana nav sekmīga!"
"Most probably you have older version of this module in the system. Do you want to remove the instance of this module from %s folder?","Visticamāk Jūsu sistēmā ir vecāka šī moduļa versija. Vai vēlaties izdzēst šī moduļa detaļas no mapes %s?"
"Manage the order from here by adding <a href='%s' target='_blank'>action buttons</a>",""Pārvaldīt pasūtījumu no šejienes"," pievienojot <a href='%s' target='_blank'>action buttons</a>""
"http://www.balticode.com/magento/better-order-management.html","http://www.balticode.com/magento/better-order-management.html"
"This order has not yet been fully paid","Šis pasūtījums nav pilnībā apmaksāts"
